Sl. No.,Temperature,Sales,p,x,y,z
1,14.20,215.00,-4.48,-187.42,838.69,20.03
2,16.40,325.00,-2.28,-77.42,176.12,5.18
3,11.90,185.00,-6.78,-217.42,1473.00,45.90
4,15.20,332.00,-3.48,-70.42,244.70,12.08
5,18.50,406.00,-0.18,3.58,-0.63,0.03
6,22.10,522.00,3.43,119.58,409.57,11.73
7,19.40,412.00,0.73,9.58,6.95,0.53
8,25.10,614.00,6.43,211.58,1359.42,41.28
9,23.40,544.00,4.73,141.58,668.98,22.33
10,18.10,421.00,-0.58,18.58,-10.69,0.33
11,22.60,445.00,3.93,42.58,167.14,15.41
12,17.20,408.00,-1.48,5.58,-8.24,2.18
SUM,224.10,4829.00,0.00,0.00,5325.03,176.98
