Sl. No.,A,B,$$\mathbf{d}_{\mathbf{i}}\mathbf{= A - B}$$,$$\mathbf{d}_{\mathbf{i}}\mathbf{-}\overline{\mathbf{d}}$$,$$\left( \mathbf{d}_{\mathbf{i}}\mathbf{-}\overline{\mathbf{d}}$$ \right)^{\mathbf{2}}$
1,49,52,-3,-1,1
2,53,55,-2,0,0
3,51,52,-1,1,1
4,52,53,-1,1,1
5,47,50,-3,-1,1
6,50,54,-4,-2,4
7,52,54,-2,0,0
8,53,53,0,2,4
,,$$\sum_{i = 1}^{8}d_{i}$$,-16,$$\sum_{i = 1}^{8}\left( d_{i} - \overline{d} \right)^{2}$$,12
,,$$\overline{d} = \frac{\sum_{i = 1}^{8}d_{i}}{n} = \frac{- 16}{8}$$,$\overline{d} =$-2,$$s^{2} = \frac{\sum_{i = 1}^{8}\left( d_{i} - \overline{d} \right)^{2}}{n - 1}$$,$s^{2}$=1.7143
,,,,,$s = \sqrt{1.7143}$ =1.309
