Sl. No,Yield,$$\left( \mathbf{x}_{\mathbf{i}}\mathbf{-}\overline{\mathbf{x}} \right)$$,$$\left( \mathbf{x}_{\mathbf{i}}\mathbf{-}\overline{\mathbf{x}} \right)^{\mathbf{2}}$$
1,14.3,1.67,2.7889
2,12.6,-0.03,0.0009
3,13.7,1.07,1.1449
4,10.9,-1.73,2.9929
5,13.7,1.07,1.1449
6,12,-0.63,0.3969
7,11.4,-1.23,1.5129
8,12,-0.63,0.3969
9,12.6,-0.03,0.0009
10,13.1,0.47,0.2209
Sum = $\sum_{i = 1}^{n}x_{i}$,126.3,$$\sum_{i = 1}^{n}\left( x_{i} - \overline{x} \right)^{2}$$,10.601
"Mean, $\overline{x}$ =$\ \frac{\sum_{i = 1}^{n}x_{i}}{10}$",12.63,$$s^{2} = \frac{\sum_{i = 1}^{n}\left( x_{i} - \overline{x} \right)^{2}}{n - 1}$$,1.177889
,,$$s = \sqrt{s^{2}}$$,1.085306
