Growth,Water,Sunlight,Fertilizer,Nutrient
4.37,167.55,11.08,56.60,243.43
9.56,325.36,6.71,40.68,519.04
7.59,231.40,5.65,35.86,455.06
6.39,209.62,14.49,78.06,342.38
2.40,77.79,14.66,81.01,127.70
2.40,115.16,13.08,70.34,148.98
1.52,76.76,8.05,45.48,92.12
8.80,280.54,5.98,34.18,532.97
6.41,195.48,11.84,59.45,401.31
7.37,236.65,9.40,48.08,431.84
1.19,51.96,6.22,31.41,146.65
9.73,328.38,9.95,56.11,566.87
8.49,286.58,5.34,29.84,443.16
2.91,131.66,14.09,75.54,234.76
2.64,102.81,7.59,47.03,185.93
