Name,Period,Major contribution,Remarks
"Pierre de Fermat","1607--1665","With Pascal, developed the early theory of probability through the problem of points (1654).","Co-founder of probability theory"
"John Graunt","1620--1674","Analysed the London Bills of Mortality and constructed the first known life table; pioneer of demography.","One of the founders of political arithmetic"
"Blaise Pascal","1623--1662","With Fermat, laid the foundations of the mathematical theory of probability.","Co-founder of probability theory"
"William Petty","1623--1687","Developed political arithmetic, the systematic use of quantitative data for questions of the state.","Co-founder of political arithmetic"
"Jacob Bernoulli","1655--1705","Proved the Law of Large Numbers in *Ars Conjectandi* (1713).","Early architect of probability"
"Thomas Bayes","1701--1761","Formulated Bayes' theorem, the basis of Bayesian inference (published 1763).","Founder of Bayesian statistics"
"Gottfried Achenwall","1719--1772","Coined the term *Statistik* (1749) for the descriptive science of the state.","Credited with naming statistics"
"Pierre-Simon Laplace","1749--1827","Developed the central limit theorem and Bayesian probability; applied probability to many sciences.","A founder of mathematical probability"
"Carl Friedrich Gauss","1777--1855","Developed the method of least squares and the normal (Gaussian) distribution of errors.","Normal distribution named after him"
"Adolphe Quetelet","1796--1874","Applied statistics and the normal curve to social and human data; conceived the average man.","Father of social statistics"
"Sir Francis Galton","1822--1911","Introduced regression and correlation; pioneered the study of variation and heredity.","Originator of regression and correlation"
"Francis Ysidro Edgeworth","1845--1926","Advanced statistical theory, correlation and methods of estimation.","Bridged economics and statistics"
"Karl Pearson","1857--1936","Developed the chi-square test, the correlation coefficient and the method of moments; founded *Biometrika* (1901) and the first university statistics department (1911).","Founder of the biometric school"
"William Sealy Gosset (Student)","1876--1937","Developed the *t*-distribution and the *t*-test for small samples while working at Guinness (1908).","Wrote under the pen name Student"
"George W. Snedecor","1881--1974","Popularised the analysis of variance and named the *F*-statistic in Fisher's honour (1934).","Author of *Statistical Methods*"
"Sir Ronald Aylmer Fisher","1890--1962","Developed analysis of variance (ANOVA), the design of experiments, maximum likelihood and the *F*-distribution; author of *Statistical Methods for Research Workers* (1925).","Founder of modern statistics"
"Prasanta Chandra Mahalanobis","1893--1972","Introduced the Mahalanobis distance; pioneered large-scale sample surveys; founded the Indian Statistical Institute (1931).","Father of statistics in India"
"Jerzy Neyman","1894--1981","With E. S. Pearson, developed the theory of hypothesis testing; introduced confidence intervals and the theory of survey sampling.","Co-founder of modern hypothesis testing"
"Egon Sharpe Pearson","1895--1980","With Neyman, formulated the Neyman--Pearson theory of hypothesis testing.","Co-developer of hypothesis testing"
"Gertrude Mary Cox","1900--1978","Advanced the design of experiments; co-authored the classic *Experimental Designs* (1950) with Cochran.","Pioneer of experimental design"
"Frank Yates","1902--1994","Developed missing-plot techniques, experimental design and the analysis of factorial experiments at Rothamsted.","Pioneer of experimental design"
"Abraham Wald","1902--1950","Founded statistical decision theory and sequential analysis; identified survivorship bias.","Founder of statistical decision theory"
"Calyampudi Radhakrishna Rao","1920--2023","Gave the Cramer--Rao bound and the Rao--Blackwell theorem; major contributions to estimation theory.","Legend of Indian statistics"
